soggetto,tipologia,Indirizzo,Sito web,indirizzo_pulito
Fondazione IRCCS Policlinico San Matteo,IRCSS - pubblici,"Piazzale Golgi 19, 27100 Pavia",https://www.sanmatteo.org/,"Piazzale Golgi 19, 27100 Pavia"
Fondazione IRCCS San Gerardo dei Tintori,IRCSS - pubblici,"Via Giovanni Battista Pergolesi 33, 20900 Monza",https://www.irccs-sangerardo.it/,"Via Giovanni Battista Pergolesi 33, 20900 Monza"
Fondazione Salvatore Maugeri,IRCCS Privati,"Via S. Maugeri 4, 27100 Pavia",https://www.icsmaugeri.it/,"Via S. Maugeri 4, 27100 Pavia"
Istituto Scientifico Eugenio Medea – La Nostra Famiglia,IRCCS Privati,"Via Don Luigi Monza 20, 23842 Bosisio Parini (LC)",https://emedea.it/,"Via Don Luigi Monza 20, 23842 Bosisio Parini (LC)"
Fondazione Centro San Raffaele,IRCCS Privati,"Via Olgettina 60, 20132 Milano",https://www.hsr.it/,"Via Olgettina 60, 20132 Milano"
Istituto Auxologico Italiano,IRCCS Privati,"Via Ariosto 13, 20145 Milano",https://www.auxologico.it/,"Via Ariosto 13, 20145 Milano"
Fondazione Don Carlo Gnocchi,IRCCS Privati,"Via Capecelatro 66, 20148 Milano",https://www.dongnocchi.it/,"Via Capecelatro 66, 20148 Milano"
Fondazione Istituto Neurologico Casimiro Mondino,IRCCS Privati,"Via Mondino 2, 27100 Pavia",https://www.mondino.it/,"Via Mondino 2, 27100 Pavia"
IEO - Istituto Europeo di Oncologia,IRCCS Privati,"Via Ripamonti 435, 20141 Milano",https://www.ieo.it/,"Via Ripamonti 435, 20141 Milano"
Centro San Giovanni di Dio Fatebenefratelli,IRCCS Privati,"Via Pilastroni 4, 25125 Brescia",https://www.fatebenefratelli.eu/,"Via Pilastroni 4, 25125 Brescia"
Istituto Clinico Humanitas,IRCCS Privati,"Via Manzoni 56, 20089 Rozzano (MI)",https://www.humanitas.it/,"Via Manzoni 56, 20089 Rozzano (MI)"
Istituto Ortropedico Galeazzi - Sant'Ambrogio,IRCCS Privati,"Via Cristina Belgioioso 173, 20157 Milano",https://www.grupposandonato.it/strutture/irccs-galeazzi-sant-ambrogio,"Via Cristina Belgioioso 173, 20157 Milano"
Policlinico San Donato,IRCCS Privati,"Piazza Edmondo Malan 2, 20097 San Donato Milanese (MI)",https://www.grupposandonato.it/strutture/policlinico-san-donato,"Piazza Edmondo Malan 2, 20097 San Donato Milanese (MI)"
Casa di Cura Multimedica,IRCCS Privati,"Via Milanese 300, 20099 Sesto San Giovanni (MI)",https://www.grupposandonato.it/strutture/multimedica,"Via Milanese 300, 20099 Sesto San Giovanni (MI)"
Istituto di Ricerche Farmacologiche Mario Negri,IRCCS Privati,"Via Giuseppe La Masa 19, 20156 Milano",https://www.marionegri.it/,"Via Giuseppe La Masa 19, 20156 Milano"
Università degli studi di Bergamo,Università,"Via Salvecchio 19, 24129 Bergamo",https://www.unibg.it/,"Via Salvecchio 19, 24129 Bergamo"
Università degli studi di Brescia,Università,"Piazza del Mercato 15, 25121 Brescia",https://www.unibs.it/,"Piazza del Mercato 15, 25121 Brescia"
Università degli studi dell'Insubria Varese - Como,Università,"Via Ravasi 2, 21100 Varese",https://www.uninsubria.it/,"Via Ravasi 2, 21100 Varese"
Università degli studi di Milano,Università,"Via Festa del Perdono 7, 20122 Milano",https://www.unimi.it/,"Via Festa del Perdono 7, 20122 Milano"
Università degli Studi di Milano Bicocca,Università,"Piazza dell'Ateneo Nuovo 1, 20126 Milano",https://www.unimib.it/,"Piazza dell'Ateneo Nuovo 1, 20126 Milano"
Politecnico di Milano,Università,"Piazza Leonardo da Vinci 32, 20133 Milano",https://www.polimi.it/,"Piazza Leonardo da Vinci 32, 20133 Milano"
Università Cattolica del Sacro Cuore,Università,"Largo Agostino Gemelli 1, 20123 Milano",https://www.unicatt.it/,"Largo Agostino Gemelli 1, 20123 Milano"
Università Vita Salute S. Raffaele,Università,"Via Olgettina 58, 20132 Milano",https://www.unisr.it/,"Via Olgettina 58, 20132 Milano"
Humanitas University,Università,"Via Rita Levi Montalcini 4, 20090 Pieve Emanuele (MI)",https://www.hunimed.eu/,"Via Rita Levi Montalcini 4, 20090 Pieve Emanuele (MI)"
Università degli Studi di Pavia,Università,"Corso Strada Nuova 65, 27100 Pavia",https://www.unipv.it/,"Corso Strada Nuova 65, 27100 Pavia"
IUSS - Istituto Universitario di Studi Superiori di Pavia,Università,"Piazza della Vittoria 15, 27100 Pavia",https://www.iusspavia.it/,"Piazza della Vittoria 15, 27100 Pavia"
Università Carlo Cattaneo LIUC,Università,"Corso G. Matteotti 22, 21053 Castellanza (VA)",https://www.liuc.it/,"Corso G. Matteotti 22, 21053 Castellanza (VA)"
Università degli Studi Guglielmo Marconi,Università,"Via Plinio 44, 00193 Roma",https://www.unimarconi.it/,"Via Plinio 44, 00193 Roma"
Università LUISS Guido Carli – Milano Luiss Lab,Università,"Viale Pola 12, 20124 Milano",https://www.luiss.it/,"Viale Pola 12, 20124 Milano"
Centro Cardiologico Fondazione Monzino,Non specificato,"Via Carlo Parea 4, 20138 Milano",https://www.cardiologicomonzino.it/,"Via Carlo Parea 4, 20138 Milano"
Fondazione Green,Non specificato,"Via Durando 38/A, 20158 Milano",https://www.fondazionegreen.it/,Via Durando 38
ITS Angelo Rizzoli,Istituti Tecnici Superiori (ITS),"Via G. Rovani 247, 20099 Sesto San Giovanni (MI)",https://www.itsrizzoli.it/,"Via G. Rovani 247, 20099 Sesto San Giovanni (MI)"
ITS IATH – International Academy for Tourism and Hospitality,Istituti Tecnici Superiori (ITS),"Via Tommaso Grossi 9, 22100 Como",https://www.iath.it/,"Via Tommaso Grossi 9, 22100 Como"
ITS Academy per l’innovazione del sistema agroalimentare,Istituti Tecnici Superiori (ITS),"Via Don Milani 1, 20844 Triuggio (MB)",https://www.itsagroalimentare.it/,"Via Don Milani 1, 20844 Triuggio (MB)"
ITS Lombardia Meccatronica,Istituti Tecnici Superiori (ITS),"Via Adda 11, 20871 Vimercate (MB)",https://www.itslombardiameccatronica.it/,"Via Adda 11, 20871 Vimercate (MB)"
ITS Nuove Tecnologie per la Vita,Istituti Tecnici Superiori (ITS),"Via Fantoli 16/15, 20138 Milano",https://www.fondazionebiotecnologie.it/,Via Fantoli 16
ITS Nuove Tecnologie per il Made in Italy,Istituti Tecnici Superiori (ITS),"Via Adda 11, 20871 Vimercate (MB)",https://www.itsmadeinitaly.it/,"Via Adda 11, 20871 Vimercate (MB)"
ITS Tech Talent Factory,Istituti Tecnici Superiori (ITS),"Viale Fulvio Testi 223, 20162 Milano",https://www.techtalentfactory.it/,"Viale Fulvio Testi 223, 20162 Milano"
Fondazione Jobs Academy,Istituti Tecnici Superiori (ITS),"Via del Mulino 2, 24060 San Paolo d'Argon (BG)",https://www.jobsacademy.it/,"Via del Mulino 2, 24060 San Paolo d'Argon (BG)"
ITS Cantieri dell’Arte,Istituti Tecnici Superiori (ITS),"Via G. B. Grassi 74, 20157 Milano",https://www.cantieridellarte.it/,"Via G. B. Grassi 74, 20157 Milano"
ITS Machina Lonati,Istituti Tecnici Superiori (ITS),"Via Tommaseo 49, 25128 Brescia",https://www.itsmachinalonati.it/,"Via Tommaseo 49, 25128 Brescia"
ITS Rosario Messina,Istituti Tecnici Superiori (ITS),"Via Riccardo Pitteri 8, 20134 Milano",https://www.itsrosariomessina.it/,"Via Riccardo Pitteri 8, 20134 Milano"
ITS Leonardo Academy,Istituti Tecnici Superiori (ITS),"Via G. Carducci 39, 20099 Sesto San Giovanni (MI)",https://www.leonardoacademy.it/,"Via G. Carducci 39, 20099 Sesto San Giovanni (MI)"
Fondazione Minoprio,Istituti Tecnici Superiori (ITS),"Viale Raimondi 54, 22070 Vertemate con Minoprio (CO)",https://www.fondazioneminoprio.it/,"Viale Raimondi 54, 22070 Vertemate con Minoprio (CO)"
ITS per l’agroalimentare sostenibile,Istituti Tecnici Superiori (ITS),"Via Don Milani 1, 20844 Triuggio (MB)",https://www.itsagroalimentare.it/,"Via Don Milani 1, 20844 Triuggio (MB)"
ITS Agroalimentare Symposium,Istituti Tecnici Superiori (ITS),"Via Donatori di Sangue 9, 46019 Viadana (MN)",https://www.itsagroalimentaresymposium.it/,"Via Donatori di Sangue 9, 46019 Viadana (MN)"
ITS Academy of Management for Made in Italy (AMMI),Istituti Tecnici Superiori (ITS),"Via G. Carducci 39, 20099 Sesto San Giovanni (MI)",https://www.itsammi.it/,"Via G. Carducci 39, 20099 Sesto San Giovanni (MI)"
ITS Mobilità Sostenibile delle persone e delle merci,Istituti Tecnici Superiori (ITS),"Via G. Carducci 39, 20099 Sesto San Giovanni (MI)",https://www.itsmobilitasostenibile.it/,"Via G. Carducci 39, 20099 Sesto San Giovanni (MI)"
ITS Lombardo Mobilità Sostenibile,Istituti Tecnici Superiori (ITS),"Via G. Carducci 39, 20099 Sesto San Giovanni (MI)",https://www.itsmobilitasostenibile.it/,"Via G. Carducci 39, 20099 Sesto San Giovanni (MI)"
Fondazione Jobs Factory,Istituti Tecnici Superiori (ITS),"Via G. Carducci 39, 20099 Sesto San Giovanni (MI)",https://www.jobsfactory.it/,"Via G. Carducci 39, 20099 Sesto San Giovanni (MI)"
ITS Incom,Istituti Tecnici Superiori (ITS),"Via Varalli 13, 21052 Busto Arsizio (VA)",https://www.itsincom.it/,"Via Varalli 13, 21052 Busto Arsizio (VA)"
Innovaprofessioni,Istituti Tecnici Superiori (ITS),"Via G. Carducci 39, 20099 Sesto San Giovanni (MI)",https://www.innovaprofessioni.it/,"Via G. Carducci 39, 20099 Sesto San Giovanni (MI)"
I-Crea Academy,Istituti Tecnici Superiori (ITS),"Via G. Carducci 39, 20099 Sesto San Giovanni (MI)",https://www.icreaacademy.it/,"Via G. Carducci 39, 20099 Sesto San Giovanni (MI)"
ITS Red Academy,Istituti Tecnici Superiori (ITS),"Via G. Carducci 39, 20099 Sesto San Giovanni (MI)",https://www.redacademy.it/,"Via G. Carducci 39, 20099 Sesto San Giovanni (MI)"
ITS Academy Leading Generation,Istituti Tecnici Superiori (ITS),"Via G. Carducci 39, 20099 Sesto San Giovanni (MI)",https://www.leadinggeneration.it/,"Via G. Carducci 39, 20099 Sesto San Giovanni (MI)"
ITS Academy agrorisorse,Istituti Tecnici Superiori (ITS),"Via G. Carducci 39, 20099 Sesto San Giovanni (MI)",https://www.agrorisorse.it/,"Via G. Carducci 39, 20099 Sesto San Giovanni (MI)"
Fondazione IRCCS Istituto Nazionale Tumori Milano,Non specificato,"Via Giacomo Venezian 1, 20133 Milano",https://www.istitutotumori.mi.it/,"Via Giacomo Venezian 1, 20133 Milano"
Fondazione IRCCS Cà Granda Ospedale Maggiore Policlinico,Non specificato,"Via Francesco Sforza 28, 20122 Milano",https://www.policlinico.mi.it/,"Via Francesco Sforza 28, 20122 Milano"
INRCA IRCCS,Non specificato,"Via Santa Margherita 5, 60124 Ancona",https://www.inrca.it/,"Via Santa Margherita 5, 60124 Ancona"
