id,nome,indirizzo,provincia,coordinate_lat,coordinate_lon,anno_costituzione,settori_tag,capitale_sociale,valore_produzione,dipendenti,status_attivo
SU00030,NanoSolutions S.R.L.,"Corso Buenos Aires, 38",Mantova,45.111503941845854,10.804916174600882,2022,['Ricerca e Sviluppo'],14557,65089,5,True
SU00031,NanoVision S.R.L.,"Corso Buenos Aires, 111",Milano,45.47706707862108,9.22129409169867,2022,"['Software & Consulenza Informatica', 'Intelligenza Artificiale']",10000,4076,10,True
SU00032,BioDynamics S.R.L.,"Via Roma, 57",Mantova,45.1734449297806,10.744985252520436,2023,['E-commerce'],281089,153754,2,True
SU00033,TechAnalytics S.R.L.,"Via Roma, 141",Milano,45.4369459279292,9.151774926402119,2021,"['Servizi di Informazione', 'IoT']",10000,104109,40,True
SU00034,DigitalSolutions S.R.L.,"Via Brera, 55",Milano,45.47390631993121,9.17454665715453,2022,"['Cybersecurity', 'Automotive Tech']",11160,294091,1,True
SU00035,NanoAnalytics S.R.L.,"Via Roma, 85",Milano,45.43080441655863,9.225293738685254,2020,['Intelligenza Artificiale'],10000,34516,0,True
SU00036,DigitalLab S.R.L.,"Via Roma, 14",Como,45.82549480880457,9.106342498667127,2021,['Fintech'],13044,219798,1,True
SU00037,DataLogic S.R.L.,"Via Dante, 145",Milano,45.42738251537337,9.164408460665285,2022,"['Intelligenza Artificiale', 'Cleantech']",93399,1405272,4,True
SU00038,DigitalEngine S.R.L.,"Via Milano, 73",Milano,45.46779690837456,9.183302954552477,2020,"['Cybersecurity', 'Marketing Digitale']",10000,160013,2,True
SU00039,FutureHub S.R.L.,"Via Montenapoleone, 25",Bergamo,45.70364100770697,9.691989056149007,2021,['Marketing Digitale'],30636,917330,5,True
SU00040,TechVision S.R.L.,"Via Garibaldi, 108",Milano,45.443350302515455,9.215558536584762,2023,['Software & Consulenza Informatica'],10000,295295,6,True
SU00041,BioVision S.R.L.,"Via Manzoni, 121",Milano,45.455289949571984,9.219067689542353,2021,"['Fabbricazione Macchinari', 'Automotive Tech']",10000,1103526,2,True
SU00042,CyberSystems S.R.L.,"Via Roma, 52",Brescia,45.538616216804826,10.19861173177098,2020,['Biotecnologie'],18560,143696,7,True
SU00043,TechVision S.R.L.,"Via Garibaldi, 13",Milano,45.468258460417026,9.159685117700056,2024,['Cleantech'],15220,2763,2,True
SU00044,CyberLab S.R.L.,"Via Milano, 67",Milano,45.49067749607574,9.167363677157345,2019,"['Salute Digitale', 'Fintech', 'Automazione Industriale']",10000,186405,6,True
SU00045,DigitalWorks S.R.L.,"Via Milano, 77",Milano,45.45968572704861,9.190068295023568,2024,"['Energia Rinnovabile', 'Cleantech']",10000,13354,5,True
SU00046,NanoHub S.R.L.,"Via Roma, 22",Milano,45.45459736264608,9.192556053947335,2025,"['Software & Consulenza Informatica', 'Automazione Industriale']",48453,9435,0,True
SU00047,InnovaSystems S.R.L.,"Via Brera, 84",Varese,45.79489391202659,8.842449146565603,2025,"['Marketing Digitale', 'Blockchain']",14864,488280,6,False
SU00048,TechDynamics S.R.L.,"Via Montenapoleone, 79",Milano,45.49673038943399,9.140374100268696,2021,"['Automazione Industriale', 'Robotica', 'IoT']",24504,127594,1,True
SU00049,FutureSystems S.R.L.,"Corso Buenos Aires, 64",Como,45.814669907402596,9.083754330438591,2021,"['Cybersecurity', 'Cleantech', 'Ricerca e Sviluppo']",19067,125330,1,True
SU00050,GreenAnalytics S.R.L.,"Via Milano, 122",Bergamo,45.68687642020435,9.688751655627124,2023,"['Automazione Industriale', 'Servizi di Informazione', 'Computer e Prodotti Elettronici']",10000,414663,1,True
SU00051,NanoLab S.R.L.,"Via Brera, 41",Milano,45.459761750944125,9.165709620887014,2022,"['Energia Rinnovabile', 'Software & Consulenza Informatica']",15328,554165,6,True
SU00052,GreenSolutions S.R.L.,"Via Brera, 76",Milano,45.486825055807955,9.184505050096512,2023,"['Fintech', 'Automazione Industriale']",10000,165330,4,True
SU00053,TechLab S.R.L.,"Via Milano, 8",Brescia,45.5747397693941,10.18099162656222,2023,"['Automazione Industriale', 'Software & Consulenza Informatica']",25322,6267,4,True
SU00054,CyberWorks S.R.L.,"Via Dante, 47",Milano,45.47286289538464,9.184009817236555,2022,"['Cybersecurity', 'Computer e Prodotti Elettronici']",10000,760126,5,True
SU00055,InnovaSystems S.R.L.,"Corso Buenos Aires, 130",Milano,45.45776753727908,9.180979899397402,2021,"['Servizi di Informazione', 'Ricerca e Sviluppo']",20644,934818,7,True
SU00056,InnovaSystems S.R.L.,"Via Milano, 124",Milano,45.469731383051894,9.176985729253097,2020,['Biotecnologie'],10000,152925,0,True
SU00057,DigitalSystems S.R.L.,"Via Montenapoleone, 63",Cremona,45.13221723306814,10.02927524820607,2020,"['Computer e Prodotti Elettronici', 'Ricerca e Sviluppo']",24517,588616,3,True
SU00058,NanoAnalytics S.R.L.,"Via Brera, 149",Brescia,45.559096688765386,10.168660387106007,2022,"['Cybersecurity', 'Marketing Digitale']",10000,764251,4,True
SU00059,DataHub S.R.L.,"Corso Buenos Aires, 108",Milano,45.479378571795735,9.195623828479388,2021,['E-commerce'],10000,172207,2,True
SU00060,DataAnalytics S.R.L.,"Via Brera, 56",Pavia,45.173364096539075,9.168766508684206,2019,"['Marketing Digitale', 'IoT', 'Cybersecurity']",10000,146495,7,True
SU00061,FutureWorks S.R.L.,"Via Milano, 19",Milano,45.472911116967495,9.207845273207402,2019,"['Servizi di Informazione', 'Salute Digitale', 'Fabbricazione Macchinari']",10000,411294,1,True
SU00062,SmartAnalytics S.R.L.,"Via Dante, 146",Brescia,45.51288762343573,10.17353787149642,2020,"['IoT', 'Cybersecurity']",10000,170307,0,True
SU00063,FutureDynamics S.R.L.,"Via Montenapoleone, 50",Bergamo,45.676394330958075,9.691959503585231,2025,['IoT'],13917,14973,0,True
SU00064,SmartVision S.R.L.,"Corso Buenos Aires, 5",Milano,45.481506338040404,9.205281921569926,2019,['Aerospace'],10000,63010,0,True
SU00065,DataLogic S.R.L.,"Via Manzoni, 55",Bergamo,45.707280219268384,9.666689847541237,2019,['Robotica'],10000,285497,2,True
SU00066,GreenSolutions S.R.L.,"Via Manzoni, 95",Milano,45.513497552717155,9.18399719431215,2021,"['Cleantech', 'IoT']",31405,159586,3,True
SU00067,BioSystems S.R.L.,"Corso Buenos Aires, 11",Milano,45.477118356515874,9.217486190263582,2022,['Intelligenza Artificiale'],52721,6480,1,True
SU00068,SmartAnalytics S.R.L.,"Via Garibaldi, 92",Milano,45.43786088851806,9.188502932281303,2020,['Servizi di Informazione'],38272,365985,2,True
SU00069,DataDynamics S.R.L.,"Via Milano, 34",Sondrio,46.19456435443634,9.85614189322499,2020,['Blockchain'],10000,2930952,6,True
SU00070,CyberSolutions S.R.L.,"Via Brera, 145",Milano,45.46484008298131,9.174931642593076,2021,"['Servizi di Informazione', 'Biotecnologie']",72597,823829,7,True
SU00071,FutureDynamics S.R.L.,"Corso Buenos Aires, 96",Brescia,45.539081220541064,10.197450296278378,2022,"['Intelligenza Artificiale', 'Aerospace']",10000,298038,1,True
SU00072,DigitalLogic S.R.L.,"Via Brera, 17",Milano,45.44330381611958,9.15067286821248,2024,"['Robotica', 'E-commerce']",76629,1526806,5,True
SU00073,GreenHub S.R.L.,"Via Garibaldi, 89",Milano,45.46231256499929,9.188282135005643,2024,['Aerospace'],24080,224758,5,True
SU00074,BioLogic S.R.L.,"Via Dante, 128",Como,45.81676241069355,9.10894088223438,2020,"['Cleantech', 'Energia Rinnovabile']",10395,37205,6,True
SU00075,NanoDynamics S.R.L.,"Corso Buenos Aires, 54",Milano,45.433686873708595,9.215251682068542,2022,"['Blockchain', 'Software & Consulenza Informatica']",57118,337241,1,True
SU00076,InnovaLab S.R.L.,"Via Montenapoleone, 94",Milano,45.44986355358794,9.152669267658538,2022,"['IoT', 'Aerospace']",50974,50317,4,True
SU00077,GreenHub S.R.L.,"Via Roma, 109",Milano,45.45597158054681,9.200574976915993,2022,"['Cybersecurity', 'Servizi di Informazione']",24688,36938,3,True
SU00078,CyberLogic S.R.L.,"Corso Buenos Aires, 86",Milano,45.446640348264864,9.173462392919202,2022,"['Marketing Digitale', 'E-commerce']",12525,451096,0,True
SU00079,DataDynamics S.R.L.,"Via Milano, 120",Milano,45.48189213579725,9.171616397225586,2021,"['Automazione Industriale', 'Aerospace']",17970,151902,3,False
SU00080,TechSystems S.R.L.,"Corso Buenos Aires, 98",Milano,45.43887318988748,9.188840321051355,2023,['Marketing Digitale'],10000,78760,4,False
SU00081,CyberDynamics S.R.L.,"Via Brera, 116",Como,45.80089053191591,9.0954283100186,2023,"['Aerospace', 'Marketing Digitale']",34701,256816,0,True
SU00082,BioWorks S.R.L.,"Via Dante, 85",Lecco,45.87739308355721,9.365689133095051,2023,['Salute Digitale'],15304,4496,1,True
SU00083,BioAnalytics S.R.L.,"Via Montenapoleone, 129",Mantova,45.1617011208968,10.790499463543423,2022,"['Automotive Tech', 'IoT']",158741,26868,0,True
SU00084,CyberSystems S.R.L.,"Corso Buenos Aires, 131",Milano,45.46559558426998,9.210840389663257,2020,"['Intelligenza Artificiale', 'E-commerce', 'Aerospace']",18621,399596,1,True
SU00085,CyberAnalytics S.R.L.,"Corso Buenos Aires, 148",Milano,45.4759338760295,9.18050192686755,2019,"['Blockchain', 'Salute Digitale']",10000,208139,1,True
SU00086,FutureVision S.R.L.,"Corso Buenos Aires, 35",Milano,45.4903515762152,9.182454435882326,2023,"['Fintech', 'Blockchain']",10000,4580,1,True
SU00087,TechVision S.R.L.,"Via Manzoni, 89",Milano,45.479108083946905,9.172281680080815,2021,['Cleantech'],10000,152939,1,True
SU00088,TechVision S.R.L.,"Via Dante, 87",Milano,45.427999351934545,9.176241322663255,2024,"['Automazione Industriale', 'Biotecnologie', 'Software & Consulenza Informatica']",43055,147556,7,True
SU00089,DigitalSolutions S.R.L.,"Via Dante, 12",Brescia,45.55773128353362,10.21592099035759,2022,"['IoT', 'Cleantech', 'Software & Consulenza Informatica']",10000,13054,7,True
SU00090,GreenEngine S.R.L.,"Via Roma, 88",Milano,45.46846393256475,9.174960613365224,2022,"['Intelligenza Artificiale', 'Computer e Prodotti Elettronici']",19594,995176,3,True
SU00091,FutureVision S.R.L.,"Via Roma, 91",Milano,45.456660096816655,9.201515595653328,2022,"['Cybersecurity', 'Ricerca e Sviluppo', 'E-commerce']",47209,30686,10,True
SU00092,InnovaHub S.R.L.,"Via Garibaldi, 117",Como,45.785225475853586,9.087371194115532,2023,['Salute Digitale'],17121,234706,7,True
SU00093,DigitalLab S.R.L.,"Via Garibaldi, 79",Milano,45.45701954872288,9.194642570237173,2021,"['E-commerce', 'Fintech']",51104,162297,3,True
SU00094,TechHub S.R.L.,"Via Montenapoleone, 69",Milano,45.48864246604746,9.19222344320579,2021,['Marketing Digitale'],61596,63107,3,True
SU00095,FutureLab S.R.L.,"Via Brera, 134",Milano,45.48766249275173,9.19739284384396,2020,['Automazione Industriale'],14119,123466,2,False
SU00096,FutureAnalytics S.R.L.,"Via Manzoni, 129",Milano,45.442745139485204,9.194784937282222,2025,['Cybersecurity'],13857,5542,4,True
SU00097,GreenHub S.R.L.,"Via Dante, 139",Milano,45.4506294132927,9.191513445880943,2022,"['E-commerce', 'Marketing Digitale']",18206,28872,3,True
SU00098,DigitalLab S.R.L.,"Via Brera, 4",Milano,45.46206697417127,9.217808549488128,2019,"['Ricerca e Sviluppo', 'Computer e Prodotti Elettronici', 'IoT']",47442,186252,20,False
SU00099,CyberEngine S.R.L.,"Corso Buenos Aires, 47",Milano,45.48838532221937,9.161208718932476,2019,"['E-commerce', 'Cleantech']",52810,60033,1,True
SU00100,DataSystems S.R.L.,"Via Milano, 124",Milano,45.46061579050749,9.191650253986463,2024,"['E-commerce', 'Fintech', 'Computer e Prodotti Elettronici']",10000,87897,0,True
SU00101,TechAnalytics S.R.L.,"Via Brera, 32",Milano,45.50794977658748,9.164192710309143,2021,['Ricerca e Sviluppo'],68376,18709,0,True
SU00102,TechAnalytics S.R.L.,"Via Montenapoleone, 50",Milano,45.42273158222127,9.181418961463043,2023,['Salute Digitale'],31200,319483,3,False
SU00103,CyberAnalytics S.R.L.,"Via Milano, 23",Milano,45.47520190114055,9.182799357706902,2024,"['Aerospace', 'Intelligenza Artificiale', 'Marketing Digitale']",10000,47018,4,True
SU00104,DigitalEngine S.R.L.,"Via Roma, 54",Milano,45.45873960478548,9.197302508239659,2020,"['Fintech', 'Energia Rinnovabile']",17394,18230,2,True
SU00105,FutureHub S.R.L.,"Via Montenapoleone, 2",Milano,45.459839282436036,9.137223829994802,2021,['Ricerca e Sviluppo'],10000,159297,6,True
SU00106,DataLogic S.R.L.,"Via Brera, 57",Milano,45.48397338338716,9.16297108470216,2022,['Automazione Industriale'],10000,44904,1,False
SU00107,NanoAnalytics S.R.L.,"Via Milano, 26",Como,45.79889186768722,9.102494893832818,2019,"['Biotecnologie', 'Cybersecurity', 'Automazione Industriale']",77993,217107,1,True
SU00108,DigitalLogic S.R.L.,"Via Dante, 46",Lecco,45.85259921929997,9.386151091543791,2022,"['E-commerce', 'Servizi di Informazione', 'Intelligenza Artificiale']",11838,58935,1,True
SU00109,DigitalLab S.R.L.,"Via Brera, 55",Milano,45.4477513684549,9.216339176733733,2022,"['Aerospace', 'Cybersecurity']",10000,159806,2,True
SU00110,DigitalAnalytics S.R.L.,"Via Montenapoleone, 91",Milano,45.44730567076488,9.17363827900779,2025,"['IoT', 'Servizi di Informazione', 'Aerospace']",10000,177748,1,True
SU00111,TechSystems S.R.L.,"Via Roma, 58",Mantova,45.14032055202386,10.806321762390793,2019,"['Blockchain', 'Marketing Digitale', 'E-commerce']",59493,7523,2,False
SU00112,BioLab S.R.L.,"Via Montenapoleone, 103",Milano,45.466043590192726,9.18366883295475,2023,['Software & Consulenza Informatica'],10000,58585,3,True
SU00113,BioHub S.R.L.,"Corso Buenos Aires, 101",Milano,45.44687158777103,9.202912309483395,2024,"['Salute Digitale', 'Biotecnologie']",41924,1125,3,True
SU00114,GreenWorks S.R.L.,"Via Brera, 16",Milano,45.452249796106166,9.21844739723397,2021,"['Marketing Digitale', 'Fintech', 'Salute Digitale']",10000,24265,8,True
SU00115,DataHub S.R.L.,"Via Roma, 122",Bergamo,45.71161848504109,9.68573173221229,2019,"['Automotive Tech', 'Automazione Industriale']",10000,101568,1,True
SU00116,DigitalAnalytics S.R.L.,"Via Manzoni, 59",Como,45.845745844676685,9.085398620394665,2020,['Computer e Prodotti Elettronici'],18165,82054,3,True
SU00117,CyberAnalytics S.R.L.,"Via Garibaldi, 114",Milano,45.46559493697682,9.177204709451116,2021,['Software & Consulenza Informatica'],13464,1013846,0,True
SU00118,SmartHub S.R.L.,"Via Dante, 148",Milano,45.44492482147579,9.170856981702098,2021,"['Intelligenza Artificiale', 'Aerospace']",51066,1170274,1,True
SU00119,CyberLogic S.R.L.,"Corso Buenos Aires, 22",Lecco,45.862113796005346,9.371965577823476,2019,"['Salute Digitale', 'Aerospace']",12086,15146,1,True
SU00120,GreenLab S.R.L.,"Via Montenapoleone, 149",Pavia,45.19251391841856,9.131670557433779,2019,"['Intelligenza Artificiale', 'Marketing Digitale']",11376,29422,3,True
SU00121,BioWorks S.R.L.,"Via Dante, 123",Bergamo,45.733291678084115,9.70492908157381,2021,['Automotive Tech'],32005,82105,0,True
SU00122,CyberLab S.R.L.,"Via Milano, 102",Milano,45.481583121287784,9.207745816745334,2023,['Marketing Digitale'],24333,140028,9,True
SU00123,FutureSystems S.R.L.,"Via Milano, 63",Milano,45.454618978852764,9.154529913321007,2021,"['Fabbricazione Macchinari', 'Energia Rinnovabile', 'Automotive Tech']",10000,1756909,2,True
SU00124,SmartWorks S.R.L.,"Via Dante, 129",Milano,45.44249698946884,9.17349178940042,2022,['Robotica'],15722,170649,4,True
SU00125,NanoAnalytics S.R.L.,"Via Roma, 76",Milano,45.472601889809035,9.202137011864313,2021,['Salute Digitale'],10000,136148,7,True
SU00126,InnovaSystems S.R.L.,"Via Roma, 28",Milano,45.44623412508335,9.179805396896297,2020,"['Servizi di Informazione', 'Aerospace']",10000,20175,0,True
SU00127,TechDynamics S.R.L.,"Via Montenapoleone, 61",Milano,45.44629307355274,9.181837983216795,2021,"['Automotive Tech', 'Fabbricazione Macchinari']",25813,3718392,0,True
SU00128,BioLab S.R.L.,"Via Manzoni, 118",Milano,45.45942174316032,9.218603112731197,2021,"['Blockchain', 'Biotecnologie', 'E-commerce']",10200,1526061,7,True
SU00129,NanoLab S.R.L.,"Via Garibaldi, 3",Cremona,45.108414022741286,9.993281824856249,2024,"['Servizi di Informazione', 'Robotica']",56392,24700,2,True
SU00130,FutureLab S.R.L.,"Via Montenapoleone, 44",Milano,45.44978720656336,9.20057662603626,2022,"['Servizi di Informazione', 'Biotecnologie']",14773,1105367,0,True
SU00131,TechLogic S.R.L.,"Via Milano, 140",Cremona,45.097135191320056,9.981225076256269,2023,"['Fintech', 'Automotive Tech', 'Ricerca e Sviluppo']",21563,194869,5,False
SU00132,TechDynamics S.R.L.,"Via Brera, 22",Milano,45.471193000945995,9.158703944572759,2022,"['IoT', 'Robotica']",10000,1146360,2,True
SU00133,SmartSolutions S.R.L.,"Via Garibaldi, 149",Bergamo,45.704977199331374,9.705927335636625,2021,"['Energia Rinnovabile', 'Computer e Prodotti Elettronici', 'E-commerce']",27528,635888,0,True
SU00134,BioWorks S.R.L.,"Via Montenapoleone, 87",Bergamo,45.70565298585983,9.635299469846968,2020,['Automazione Industriale'],10000,1390425,4,True
SU00135,NanoHub S.R.L.,"Via Garibaldi, 65",Monza e della Brianza,45.609117490263095,9.30810028557417,2025,"['IoT', 'Automotive Tech']",50794,416554,4,True
SU00136,DigitalWorks S.R.L.,"Corso Buenos Aires, 26",Bergamo,45.689913689093366,9.68228023352729,2022,"['Robotica', 'Automazione Industriale']",17283,570081,6,True
SU00137,FutureWorks S.R.L.,"Via Manzoni, 53",Bergamo,45.6941828113824,9.662368433069195,2019,['Fabbricazione Macchinari'],37781,1485796,4,True
SU00138,InnovaDynamics S.R.L.,"Via Milano, 86",Milano,45.46818594619984,9.195734596781675,2020,"['Marketing Digitale', 'Software & Consulenza Informatica']",10000,18961,1,True
SU00139,DigitalLab S.R.L.,"Via Manzoni, 145",Lecco,45.84811757664109,9.409417804570957,2021,['Fabbricazione Macchinari'],10000,4093,5,True
SU00140,NanoHub S.R.L.,"Via Manzoni, 39",Como,45.810006027077485,9.08861063720776,2025,"['Automotive Tech', 'Computer e Prodotti Elettronici', 'Cybersecurity']",18294,6252,3,True
SU00141,InnovaEngine S.R.L.,"Via Brera, 31",Milano,45.472372146154036,9.183843830577223,2024,['Software & Consulenza Informatica'],55032,84913,5,True
SU00142,GreenSystems S.R.L.,"Via Brera, 145",Milano,45.47139473528715,9.193374125221904,2019,"['Automazione Industriale', 'E-commerce', 'Salute Digitale']",32551,596136,3,True
SU00143,TechEngine S.R.L.,"Via Roma, 136",Bergamo,45.68200810413659,9.666374819237479,2022,"['Ricerca e Sviluppo', 'Marketing Digitale']",10000,84774,0,True
SU00144,TechHub S.R.L.,"Via Garibaldi, 28",Como,45.81472683293559,9.09586801702475,2021,"['Automazione Industriale', 'E-commerce']",24501,178754,1,True
SU00145,CyberAnalytics S.R.L.,"Corso Buenos Aires, 25",Milano,45.469485956439506,9.204503989453464,2025,['Intelligenza Artificiale'],10000,18889,4,True
SU00146,TechWorks S.R.L.,"Corso Buenos Aires, 116",Milano,45.46294670952935,9.152987367166103,2021,['Automotive Tech'],10000,27314,2,True
SU00147,DataDynamics S.R.L.,"Via Montenapoleone, 102",Milano,45.49452788110507,9.202042366407849,2021,['Blockchain'],11530,153285,3,True
SU00148,TechHub S.R.L.,"Corso Buenos Aires, 99",Bergamo,45.672556728628315,9.64935763629774,2022,['E-commerce'],22008,40255,8,True
SU00149,NanoWorks S.R.L.,"Corso Buenos Aires, 59",Milano,45.46741154699231,9.191066148411975,2020,['Intelligenza Artificiale'],121056,15569,9,True
SU00150,GreenLogic S.R.L.,"Via Montenapoleone, 142",Bergamo,45.68023147167263,9.66313464521194,2019,"['Intelligenza Artificiale', 'IoT']",10000,86405,2,True
SU00151,DigitalSystems S.R.L.,"Via Dante, 117",Milano,45.49672760811337,9.179947607723363,2019,"['Energia Rinnovabile', 'Software & Consulenza Informatica', 'Cybersecurity']",10000,1713026,5,True
SU00152,SmartDynamics S.R.L.,"Via Montenapoleone, 35",Milano,45.46160965506273,9.201597145705902,2024,"['Automotive Tech', 'Software & Consulenza Informatica']",10000,512834,1,True
SU00153,NanoEngine S.R.L.,"Corso Buenos Aires, 58",Milano,45.48586546486932,9.17867186514075,2025,['Salute Digitale'],10000,2117921,6,True
SU00154,NanoWorks S.R.L.,"Via Brera, 130",Milano,45.46535548728027,9.175686599725648,2021,['Fabbricazione Macchinari'],14577,71880,0,True
SU00155,FutureLab S.R.L.,"Via Brera, 19",Brescia,45.52857871996171,10.199121091802132,2020,"['IoT', 'Servizi di Informazione']",30116,41666,0,True
SU00156,InnovaEngine S.R.L.,"Via Montenapoleone, 132",Mantova,45.165756534504716,10.833025392575333,2022,"['Software & Consulenza Informatica', 'Cybersecurity']",37606,222073,5,True
SU00157,DataDynamics S.R.L.,"Via Brera, 107",Milano,45.45103419517481,9.182151408910844,2025,['Software & Consulenza Informatica'],31421,2018,6,True
SU00158,NanoLogic S.R.L.,"Via Montenapoleone, 77",Milano,45.48897391538129,9.21622311736225,2022,['Salute Digitale'],10000,79541,0,True
SU00159,DigitalEngine S.R.L.,"Corso Buenos Aires, 29",Bergamo,45.70600865143483,9.702933184335679,2020,['Computer e Prodotti Elettronici'],56020,530241,2,True
SU00160,SmartAnalytics S.R.L.,"Via Montenapoleone, 109",Milano,45.446578633266775,9.17575558472702,2021,"['Servizi di Informazione', 'Robotica']",55197,759980,10,True
SU00161,TechDynamics S.R.L.,"Via Brera, 99",Milano,45.43824980720035,9.174842876079882,2022,['Blockchain'],10000,531705,1,True
SU00162,NanoLab S.R.L.,"Via Manzoni, 46",Milano,45.42494584839983,9.182107463756031,2024,"['Marketing Digitale', 'Cybersecurity', 'E-commerce']",12863,98177,3,True
SU00163,InnovaDynamics S.R.L.,"Via Dante, 86",Milano,45.44941298761267,9.175564255975312,2022,"['Cleantech', 'Aerospace', 'Energia Rinnovabile']",30194,690422,5,True
SU00164,DataAnalytics S.R.L.,"Via Dante, 68",Milano,45.47617478031986,9.171595229404472,2021,['Energia Rinnovabile'],10000,163316,7,True
SU00165,InnovaLab S.R.L.,"Corso Buenos Aires, 92",Milano,45.44113335193588,9.156253113057785,2024,['E-commerce'],10000,44438,1,True
